road,segmentNo,chainage,lat,lon
N1,7,16.831,23.655972199999997,90.5743327
N1,7,16.852,23.6559167,90.5745271
N1,7,17.204,23.6540556,90.57727709999999
N1,7,17.234,23.6539167,90.5774993
N1,7,17.524,23.6525278,90.5798882
N1,7,17.863,23.650888899999998,90.5826382
N1,7,17.904,23.6506944,90.5829993
N1,7,18.524,23.647610800000002,90.588083
N1,7,18.878,23.644944100000004,90.5899163
N1,7,19.521,23.6397497,90.5926941
N1,7,19.524,23.639694100000003,90.5927219
N1,7,20.044,23.6358608,90.5948052
N1,8,20.044,23.6358608,90.5948052
N1,8,20.342,23.634110800000002,90.59702740000002
N1,8,20.442,23.6335552,90.5976941
N1,8,20.524,23.6330549,90.59827740000001
N1,8,21.499000000000002,23.6262771,90.60422220000001
N1,8,21.629,23.625221600000003,90.6049722
N1,8,21.765,23.624221600000002,90.60552779999999
N1,8,21.993000000000002,23.6224993,90.6066944
N1,8,22.252,23.620471600000002,90.6079722
N1,8,22.374000000000002,23.6195271,90.60858329999999
N1,8,22.629,23.6173604,90.6096944
N1,8,23.564,23.6095556,90.6121944
N1,9,23.564,23.6095556,90.6121944
N1,9,23.629,23.609,90.61247220000001
N1,9,24.503,23.6018611,90.6159722
N1,9,24.629,23.6009444,90.6165556
N1,9,25.629,23.5959997,90.624666
N1,9,25.639,23.5959441,90.6246938
N1,9,26.313000000000002,23.5917497,90.6293327
N1,9,26.629,23.5896108,90.6313882
N1,9,27.503,23.583749700000002,90.6369441
N1,9,27.629,23.582832699999997,90.6378886
N1,9,27.668000000000003,23.5825827,90.63813859999999
N1,9,28.324,23.577916000000002,90.6419719
N1,9,28.363000000000003,23.577610399999998,90.6421108
N1,9,28.759,23.5745271,90.6436941
N1,9,29.066999999999997,23.572166,90.6451108
N1,9,29.113000000000003,23.571832699999998,90.6453052
N1,9,29.759,23.5666111,90.6481663
N1,9,30.127,23.5639167,90.6501944
N1,9,30.165,23.5636944,90.65047220000001
N1,9,30.697,23.560416699999998,90.6542222
N1,9,30.735,23.5602222,90.6545
N1,9,30.774,23.559972199999997,90.6548056
N1,9,30.936,23.559027800000003,90.6559444
N1,10,30.936,23.559027800000003,90.6559444
N1,10,31.348000000000003,23.5564444,90.6588611
N1,10,31.388,23.556222199999997,90.6591389
N1,10,31.783,23.5538056,90.66197220000001
N1,10,32.025,23.5523333,90.66366670000001
N1,10,32.607,23.548749700000002,90.6678327
N1,10,32.830999999999996,23.5474163,90.6694438
N1,10,32.908,23.5469441,90.6699993
N1,10,33.351,23.544221899999997,90.6731104
N1,10,33.607,23.542583,90.6749438
N1,10,34.607,23.5362497,90.681916
N1,10,34.641,23.536082999999998,90.6821382
N1,10,34.681,23.535860800000002,90.68236040000001
N1,10,34.955999999999996,23.534138600000002,90.6843052
N1,10,35.607,23.5301938,90.688833
N1,10,36.271,23.529916,90.6952219
N1,11,36.271,23.529916,90.6952219
N1,11,36.607,23.5301382,90.6984997
N1,11,37.607,23.5307493,90.70827779999999
N1,11,37.685,23.5307771,90.70902779999999
N1,11,38.04,23.5313882,90.7153611
N1,11,38.466,23.531471600000003,90.71722159999999
N1,12,38.466,23.531471600000003,90.71722159999999
N1,12,38.543,23.5315271,90.7173604
N1,12,38.56,23.531582699999998,90.7176104
N1,12,38.607,23.5317216,90.7180271
N1,12,39.12,23.532234600000002,90.7226298386
N1,12,39.607,23.532721600000002,90.7269993
N1,12,40.607,23.528916,90.7356108
N1,12,41.261,23.528999300000002,90.7419441
N1,12,42.228,23.5293882,90.75141670000001
N1,12,42.245,23.5293882,90.7515833
N1,12,42.269,23.529416,90.75175
N1,12,43.269,23.5299993,90.7615
N1,12,44.269,23.5304438,90.77130490000002
N1,12,44.45399999999999,23.530499300000002,90.77311040000001
N1,12,45.269,23.5308049,90.7811104
N1,12,45.321999999999996,23.5307493,90.7816104
N1,12,45.388000000000005,23.530666,90.7821938
N1,13,45.388000000000005,23.530666,90.7821938
N1,13,46.161,23.531221600000002,90.78955520000001
N1,13,46.269,23.531166,90.79072190000001
N1,13,47.224,23.530693799999998,90.7924441
N1,14,47.224,23.530693799999998,90.7924441
N1,14,47.269,23.530860399999998,90.80022220000001
N1,14,47.672,23.5308882,90.80413890000001
N1,14,47.692,23.530916,90.8043611
N1,14,48.269,23.5316382,90.8099167
