road,segmentNo,width,nrLanes,Km
R545,4,5.524592354985297,2.0053461641272388,11.223000000000003
R545,5,5.883590047393363,2.066646919431279,6.751999999999995
R545,6,5.5,2.0,3.2750000000000057
R545,7,5.5,2.0,0.9749999999999943
R545,8,8.783514492753593,2.3321256038647316,1.656000000000006
R545,9,7.976086640500074,2.4055822067160926,6.878999999999998
R545,10,6.204865706500583,2.0,7.706999999999994
R545,11,5.851081616823224,2.0896319917262747,11.603000000000002
R545,12,5.8822476735862566,2.0858983536148883,13.969999999999999
R545,13,5.512518628912072,2.0,33.55000000000001
R545,14,6.049818181818188,2.0,2.75
R546,1,5.183959537572255,1.8027456647398843,3.46
R547,1,6.928571428571429,2.142857142857143,0.7
R547,2,4.943335521996061,1.690741956664478,15.23
R547,3,4.56512702078522,1.40675519630485,17.32
R547,4,5.558187421207451,1.8728113181117805,35.69499999999999
R547,5,3.7915258511979832,1.0307692307692307,19.825000000000003
R547,6,5.030659025787966,1.6839950880065495,12.215000000000003
R548,1,4.001353276353276,1.1648860398860397,28.08
R548,2,3.7629987400251994,1.2364552708945822,11.905000000000001
R548,3,5.449310137972405,1.97375524895021,13.336000000000006
R549,1,5.345963528831937,1.6451207491375062,20.29
R550,1,5.814755295836377,2.073046018991965,5.476
R550,2,5.993887214808438,2.0,18.584
R550,3,6.0106345733041575,2.0,4.57
R550,4,5.567966573816156,2.0,3.59
R550,5,6.7610389610389605,2.0454545454545454,4.6200000000000045
R555,1,5.661065088757396,2.0,16.9
R555,2,6.690350016355902,2.0,3.057000000000002
R555,3,6.501323251417771,1.7679584120982987,1.0579999999999998
R556,1,9.277496665375844,2.9935458887311213,23.241
R556,2,9.139869281045753,2.679738562091502,1.5300000000000011
R556,3,8.8,2.0,7.869
R556,4,8.616057808109193,2.0,2.4909999999999997
R557,1,5.508923742563548,2.002549640732442,12.943
R558,1,7.938582677165353,2.0,5.08
R570,1,5.524910118130457,2.005136106831022,9.735
R570,2,5.5941007194244605,2.0,3.4750000000000014
R570,3,7.593160377358492,2.0,2.119999999999999
R585,1,5.720534759358288,2.0,4.675
R585,2,6.612924569916189,1.7850904278782531,11.335
R585,3,5.4,1.5,4.119
R585,4,5.4,1.4999999999999998,14.376000000000001
R585,5,5.4,1.5,15.409999999999997
R585,6,5.4,1.5,3.6270000000000024
R585,7,5.5116895409370565,1.6396119261713205,12.677999999999997
R585,8,6.250884955752212,2.0,2.260000000000005
R585,9,5.524346201743462,2.0,19.272000000000006
R585,10,5.680550581915844,2.0203670546105634,17.871999999999986
R585,11,5.815551537070506,2.095840867992761,1.1060000000000088
R586,1,7.012068965517241,2.0517241379310347,1.16
R586,2,6.982336182336182,2.056980056980057,2.106
R587,1,11.168164383561646,3.102739726027397,3.65
R587,2,6.916666666666667,2.0,2.4899999999999998
R601,1,5.563234334203655,2.001359878154917,18.384
R601,2,5.568485763589301,2.0,18.544000000000004
R601,3,5.5,2.0,15.506999999999998
R602,1,5.962897526501768,2.070671378091873,1.415
R603,1,7.372342851929568,2.005428336830581,21.921999999999997
R603,2,7.462174025303384,2.038987864704364,3.8730000000000047
R604,1,5.507248711340206,2.0,18.624000000000002
R604,2,5.545000000000002,2.0,1.6799999999999997
R604,3,5.54936416184971,2.0,1.7300000000000004
R604,4,5.840909090909091,2.0,18.545999999999996
R681,1,5.65801209372638,2.0,13.23
R685,1,9.5270337922403,2.5581977471839794,3.995
R685,2,6.209899569583931,2.0,17.425
R685,3,5.5,2.0,2.6999999999999993
