road,segmentNo,startChainage,endChainage,Km,width,nrLanes,A_bridges,B_bridges,C_bridges,D_bridges,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,AADT,vulnerability,aadt_trucks,aadt_other,trucks_congestion,other_congestion,criticality,priority,lat,lon
N1,25,119.698,138.869,19.171,25.0,6.0,7.0,14.0,1.0,0.0,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,6.357258358979709,4700.0,3919.0,783.3333333333334,653.1666666666666,11.977359988361739,9.167309173670724,23.1334995,91.32759655000001
N1,26,138.869,140.251,1.382,25.0,6.0,0.0,1.0,0.0,0.0,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0,4.522431259044863,4700.0,3919.0,783.3333333333334,653.1666666666666,11.977359988361739,8.249895623703301,23.0538611,91.36372220000001
N1,27,140.251,143.034,2.783,25.0,6.0,2.0,0.0,0.0,0.0,626.0,4617.0,1156.0,1923.0,588.0,791.0,216.0,716.0,1212.0,331.0,92.0,228.0,0.0,12176.0,320.0,12496.0,2.245777937477542,6399.0,6097.0,1066.5,1016.1666666666666,16.708414547785935,9.477096242631738,23.0379163,91.3655139
N1,28,143.034,145.409,2.375,25.0,6.0,1.0,0.0,0.0,0.0,728.0,4991.0,1253.0,2234.0,667.0,1164.0,249.0,813.0,1676.0,426.0,148.0,235.0,0.0,14201.0,383.0,14584.0,1.3157894736842104,6972.0,7612.0,1162.0,1268.6666666666667,18.715448725156996,10.015619099420602,23.0163052,91.37340215
N1,29,145.409,149.289,3.88,25.0,6.0,4.0,0.0,0.0,0.0,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0,3.2216494845360826,7443.0,6563.0,1240.5,1093.8333333333333,19.155657167002236,11.18865332576916,22.9961941,91.4005
N1,30,149.289,157.685,8.396,25.0,6.0,0.0,0.0,1.0,0.0,393.0,4967.0,1201.0,1656.0,293.0,775.0,282.0,973.0,840.0,207.0,224.0,188.0,0.0,11587.0,412.0,11999.0,1.488804192472606,6561.0,5438.0,1093.5,906.3333333333334,16.70261539465983,9.095709793566218,22.9624167,91.44169409999999
N1,31,157.685,161.582,3.897,25.0,6.0,1.0,1.0,0.0,0.0,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0,2.4056966897613554,7443.0,6563.0,1240.5,1093.8333333333333,19.155657167002236,10.780676928381796,22.949041349999998,91.4994026
N1,32,161.582,167.683,6.101,25.0,6.0,3.0,0.0,0.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,1.5366333387969189,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,8.107672146223054,22.91473615,91.5264021
N1,33,167.683,181.46400000000003,13.780999999999999,25.0,6.0,15.0,2.0,1.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,5.215514113634715,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,9.947112533641953,22.8432497,91.5482219
N1,34,181.46400000000003,194.60299999999998,13.139000000000001,25.0,6.0,12.0,1.0,1.0,0.0,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0,4.281147728137606,5293.0,6671.0,882.1666666666666,1111.8333333333333,14.678710953649189,9.479929340893397,22.71755525,91.6059306
N1,35,194.60299999999998,206.40200000000002,11.799000000000001,25.0,6.0,16.0,3.0,1.0,0.0,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0,6.886176794643612,7205.0,7698.0,1200.8333333333333,1283.0,19.252133987191076,13.069155390917345,22.620693799999998,91.6563611
N1,36,206.40200000000002,228.40599999999998,22.004,25.0,6.0,18.0,6.0,1.0,0.0,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0,4.828667514997273,7205.0,7698.0,1200.8333333333333,1283.0,19.252133987191076,12.040400751094175,22.5027778,91.71293059999999
N1,37,228.40599999999998,232.75400000000002,4.348,25.0,6.717571297148108,5.0,0.0,0.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,3.5936062557497697,1934.0,7616.0,287.90167077513036,1133.7430840865527,7.2289599527052095,5.41128310422749,22.387458000000002,91.76127775
N1,38,232.75400000000002,247.893,15.139000000000001,14.83946760023778,4.5388731091881835,4.0,2.0,1.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,2.477046040029064,1934.0,7616.0,426.096952586082,1677.9495299356777,10.698922996596227,6.587984518312646,22.338362487628864,91.8531667
N1,39,247.893,250.445,2.552,7.0,2.0,3.0,1.0,1.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,11.020768025078368,1934.0,7616.0,967.0,3808.0,24.28052694326283,17.650647484170598,22.30323615,91.86305555000001
N1,40,250.445,252.956,2.511,7.0,2.0,4.0,1.0,0.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,7.467144563918758,1934.0,7616.0,967.0,3808.0,24.28052694326283,15.873835753590795,22.2949163,91.877666
N1,41,252.956,255.725,2.7689999999999997,7.0,2.0,2.0,1.0,0.0,0.0,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,4.5142650776453594,1934.0,7616.0,967.0,3808.0,24.28052694326283,14.397396010454095,22.3028472,91.9020278
N1,42,255.725,256.809,1.084,7.0,2.0,1.0,0.0,0.0,0.0,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,2.882841328413284,1902.0,8213.0,951.0,4106.5,25.022291347665533,13.952566338039409,22.31194445,91.91823545
N1,43,256.809,263.744,6.935,7.323489545782265,2.0,3.0,1.0,0.0,0.0,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,2.253064167267484,1902.0,8213.0,951.0,4106.5,25.022291347665533,13.63767775746651,22.3046111,91.9522915
N1,44,263.744,264.07,0.326,7.299999999999999,2.0,0.0,0.0,0.0,0.0,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,0.0,2087.0,12739.0,1043.5,6369.5,33.35092962822977,16.675464814114886,22.2934997,91.98163819999999
N1,45,264.07,265.41,1.34,8.173134328358195,2.0,1.0,0.0,0.0,0.0,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,2.3320895522388057,2087.0,12739.0,1043.5,6369.5,33.35092962822977,17.84150959023429,22.2878052,91.9883886
N1,46,265.41,274.982,9.572000000000001,7.622064354366899,2.0,8.0,5.0,1.0,0.0,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,7.18240702047639,2087.0,12739.0,1043.5,6369.5,33.35092962822977,20.26666832435308,22.249333,92.01527779999999
N1,47,274.982,278.013,3.031,7.2,2.0,0.0,1.0,1.0,0.0,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,6.186077202243485,2046.0,11696.0,1023.0,5848.0,31.441953858263755,18.81401553025362,22.2059444,92.03702740000001
N1,48,278.013,289.612,11.599,7.554082248469696,2.0,8.0,2.0,0.0,0.0,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,3.2330373308043803,2046.0,11696.0,1023.0,5848.0,31.441953858263755,17.33749559453407,22.1392913,92.06998544999999
N1,49,289.612,289.974,0.36200000000000004,7.2,2.0,1.0,0.0,0.0,0.0,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,8.632596685082872,2046.0,11696.0,1023.0,5848.0,31.441953858263755,20.037275271673312,22.0993052,92.0743604
N1,50,289.974,297.441,7.4670000000000005,7.197160841033884,2.0,10.0,0.0,0.0,0.0,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,4.185081023168608,2046.0,11696.0,1023.0,5848.0,31.441953858263755,17.813517440716183,22.0698049,92.104
N1,51,297.441,307.582,10.141,7.1,2.0,18.0,0.0,0.0,0.0,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,5.546790257371068,3621.0,9002.0,1810.5,4501.0,37.14515735991864,21.345973808644857,21.999833,92.0879997
N1,52,307.582,315.728,8.146,7.1,2.0,14.0,0.0,0.0,0.0,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,5.370734102627056,3621.0,9002.0,1810.5,4501.0,37.14515735991864,21.257945731272848,21.93801355,92.0624306
N1,53,315.728,316.356,0.628,7.1,2.0,0.0,0.0,0.0,0.0,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,0.0,3621.0,9002.0,1810.5,4501.0,37.14515735991864,18.57257867995932,21.896999700000002,92.0611667
N1,54,316.356,323.842,7.486000000000001,7.1,2.0,10.0,0.0,0.0,0.0,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0,4.17445899011488,3621.0,9002.0,1810.5,4501.0,37.14515735991864,20.65980817501676,21.8594722,92.0606944
N1,55,323.842,327.188,3.346,7.1,2.0,4.0,0.0,0.0,0.0,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,3.7358039450089655,1067.0,4999.0,533.5,2499.5,14.656568732622242,9.196186338815604,21.8208882,92.073916
N1,56,327.188,330.874,3.6860000000000004,7.015192620727072,2.0,3.0,1.0,0.0,0.0,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,4.2390124796527395,1067.0,4999.0,533.5,2499.5,14.656568732622242,9.447790606137492,21.7864997,92.07902709999999
N1,57,330.874,332.066,1.192,6.800000000000001,2.0,1.0,0.0,1.0,0.0,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,13.108221476510066,1067.0,4999.0,533.5,2499.5,14.656568732622242,13.882395104566154,21.771249349999998,92.08173545
N1,58,332.066,332.87699999999995,0.8109999999999999,6.8,2.0,0.0,0.0,0.0,0.0,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0,0.0,1067.0,4999.0,533.5,2499.5,14.656568732622242,7.328284366311121,21.764638899999998,92.0764993
N1,59,332.87699999999995,337.31,4.433,6.8,2.0,4.0,1.0,0.0,0.0,39.0,1009.0,549.0,784.0,238.0,1018.0,165.0,318.0,2511.0,1443.0,428.0,4183.0,0.0,8074.0,4611.0,12685.0,4.22964132641552,1597.0,11088.0,798.5,5544.0,27.639818190493827,15.934729758454674,21.73461065,92.08344410000001
N1,60,337.31,343.559,6.249,6.8,2.0,4.0,0.0,0.0,0.0,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,2.000320051208193,789.0,4054.0,394.5,2027.0,11.403243828877347,6.70178194004277,21.6957497,92.07886040000001
N1,61,343.559,350.05400000000003,6.495,6.8,2.0,4.0,1.0,1.0,0.0,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4.81139337952271,789.0,4054.0,394.5,2027.0,11.403243828877347,8.107318604200028,21.647944099999997,92.07333265
N1,62,350.05400000000003,370.98199999999997,20.928,6.8,2.0,27.0,1.0,1.0,0.0,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,4.9276089449541285,789.0,4054.0,394.5,2027.0,11.403243828877347,8.165426386915737,21.5264716,92.0692771
N1,63,370.98199999999997,373.475,2.4930000000000003,6.8,2.0,6.0,0.0,0.0,0.0,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,7.521058965102287,789.0,4054.0,394.5,2027.0,11.403243828877347,9.462151396989817,21.4375552,92.09849969999999
N1,64,373.475,381.481,8.006,6.685960529602803,2.0,18.0,0.0,0.0,0.0,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0,7.025980514614038,789.0,4054.0,394.5,2027.0,11.403243828877347,9.214612171745692,21.42798545,92.0552778
N1,65,381.481,398.205,16.724,5.8,2.0,24.0,12.0,20.0,2.0,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,26.90743841186319,616.0,5204.0,308.0,2602.0,12.127610773901733,19.51752459288246,21.378249349999997,92.07105490000001
N1,66,398.205,408.434,10.229,5.8732036367191345,2.0,8.0,3.0,9.0,1.0,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,17.719229641216153,616.0,5204.0,308.0,2602.0,12.127610773901733,14.923420207558943,21.26780485,92.10891665
N1,67,408.434,416.04400000000004,7.61,5.9,2.0,7.0,1.0,3.0,0.0,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,8.623521681997373,616.0,5204.0,308.0,2602.0,12.127610773901733,10.375566227949552,21.2165556,92.1626944
N1,68,416.04400000000004,428.908,12.864,5.855931281094528,2.0,22.0,9.0,13.0,2.0,24.0,455.0,137.0,129.0,200.0,568.0,131.0,142.0,2476.0,419.0,97.0,1042.0,0.0,4681.0,1139.0,5820.0,26.236007462686562,616.0,5204.0,308.0,2602.0,12.127610773901733,19.181809118294147,21.144221849999997,92.1668882
